Model,Price,Rating,Generation,Core,Ram_GB,SSD_GB,Display_Inches,Graphics,OS,Warranty
Lenovo ThinkPad E14 21JKS13K00 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),96990.0,65.0,13th gen intel core i7 1355u,"10 cores (2p + 8e), 12 threads",16,512.0,14.0,intel iris xe graphics comes,windows 11 os,1 year warranty
Lenovo V14 82TSA0CWIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),55490.0,53.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,14.0,intel integrated uhd,windows 11 os,1 year warranty
Lenovo V14 82TS005DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),43490.0,,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,14.0,intel integrated uhd,dos os,1 year warranty
Asus Vivobook 15 2024 X1504VAP-NJ322WS Laptop (Intel Core 3 Processor 100U/ 8GB/ 512GB SSD/ Win11),49990.0,53.0,intel core 3 processor 100u,"hexa core (2p + 4e), 8 threads",16,512.0,15.6,integrated intel graphics,windows 11 os,1 year warranty
Lenovo V14 G3 82TSA0EMIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Pro),44990.0,51.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,14.0,intel integrated uhd,windows 11 pro os,1 year warranty
HP Envy x360 ‎14-fc0100TU Laptop (Intel Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),133999.0,73.0,intel core ultra 7 155u,"12 cores (2p + 8e + 2lp-e), 14 threads",32,1.0,14.0,integrated intel graphics,windows 11 os,1 year warranty
HP 15s-fq5329TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),47990.0,54.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,15.6,intel integrated iris xe,windows 11 os,1 year warranty
HP Omen 14-fb0089TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),175999.0,77.0,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",16,1.0,14.0,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
HP Envy x360 14-fc0105TU Laptop (Intel Core Ultra 5 125U/ 16GB/ 512GB SSD/ Win11),96999.0,65.0,intel core ultra 5 125u,"12 cores (2p + 8e + 2lp-e), 14 threads",16,512.0,14.0,integrated intel graphics,windows 11 os,1 year warranty
HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),61990.0,64.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,16.1,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Asus Vivobook Go 14 2023 E1404FA-NK331W Laptop (Ryzen 3 7320U / 8GB/ 1TB SSD/ Win11 Home),34990.0,53.0,7th gen amd ryzen 3 7320u,"quad core, 8 threads",8,1.0,14.0,integrated amd radeon graphics,windows 11 os,1 year warranty
Samsung Galaxy Book 4 NP750XGK-KS3IN Laptop (Intel Core 7 Processor 150U/ 16GB/ 512GB SSD/ Win11),85990.0,56.0,intel core 7 processor series 1 150u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,intel graphics,windows 11 os,1 year warranty
Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),79990.0,68.0,13th gen intel core i5 13450hx,"10 cores (6p + 4e), 16 threads",16,1.0,15.6,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),84990.0,74.0,6th gen amd ryzen 9 6900hs​,"octa core, 16 threads",16,512.0,13.4,4 gb ‎nvidia geforce rtx 3050,windows 11 os,1 year warranty
Samsung Galaxy Book 4 Pro 360 Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),199990.0,72.0,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",16,512.0,16.0,intel arc graphics,windows 11 os,1 year warranty
Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),33600.0,62.0,7th gen amd ryzen 3 7330u,"quad core, 8 threads",8,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),27990.0,61.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,15.6,intel integrated,windows 11 os,1 year warranty
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),79899.0,71.0,11th gen intel core i7 11800h,"octa core, 16 threads",16,1.0,15.6,4 gb nvidia geforce rtx 3050 ti,windows 11 os,1 year warranty
Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),77990.0,59.0,13th gen intel core i5 13420h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),59990.0,64.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),86990.0,72.0,12th gen intel core i7 12650h,"10 cores (6p + 4e), 16 threads",16,512.0,16.0,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),19979.0,,3rd gen amd athlon 3050u,"dual core, 2 threads",4,256.0,15.6,amd integrated,dos os,1 year warranty
Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),99990.0,74.0,12th gen intel core i7 12700h,"14 cores (6p + 8e), 20 threads",16,512.0,15.6,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
HP Omen 16-n0123AX Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),112990.0,73.0,6th gen amd ryzen 7  6800h,"octa core, 16 threads",16,1.0,16.1,8 gb nvidia geforce rtx 3070 ti,windows 11 os,1 year warranty
Dell Inspiron 5420 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),69999.0,62.0,12th gen intel core i5 1240p,"12 cores (4p + 8e), 16 threads",16,512.0,14.0,intel integrated uhd,windows 11 os,1 year warranty
Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),59990.0,66.0,11th gen intel core i5 11400h,"hexa core, 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),72990.0,63.0,12th gen intel core i5 1240p,"12 cores (4p + 8e), 16 threads",16,512.0,13.3,intel iris xe graphics,windows 11 os,1 year warranty
Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop (Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11),70990.0,53.0,intel core 5 processor series 1 120u,"10 cores (2p + 8e), 12 threads",8,512.0,15.6,intel graphics,windows 11 os,1 year warranty
Asus Vivobook 15 2024 X1504VAP-NJ542WS Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),67990.0,55.0,intel core 5 processor series 1 120u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,integrated intel graphics,windows 11 os,1 year warranty
HP Pavilion 15-eh3109AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),69990.0,64.0,7th gen amd ryzen 7 7730u,"octa core, 16 threads",16,1.0,15.6,amd radeon vega 8 graphics,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 5 ‎16IMH9 83DC0042IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),75990.0,,intel core ultra 5 series 1 125h,"14 cores (4p + 8e + 2lp-e), 18 threads",16,1.0,16.0,intel arc graphics,windows 11 os,1 year warranty
HP Envy x360 14-fa0052AU Laptop (AMD Ryzen 7 8840HS/ 16GB/ 512GB SSD/ Win11),96990.0,69.0,8th gen amd ryzen 7 8840hs,"octa core, 16 threads",16,512.0,14.0,amd radeon graphics,windows 11 os,1 year warranty
Asus ROG Strix SCAR 16 2024 G634JYR-RA001WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),329990.0,,14th gen intel core i9 14900hx,"24 cores (8p + 16e), 32 threads",32,2.0,16.0,16 gb nvidia geforce rtx 4090,windows 11 os,1 year warranty
Lenovo ThinkBook 15 G5 20VG0008UK Laptop (AMD Ryzen 7 7730U/ 16GB/ 512 GB SSD/ Win11),49990.0,65.0,7th gen amd ryzen 7 7730u,"octa core, 16 threads",16,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
HP Spectre x360 14-ef2035TU Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home),146990.0,72.0,13th gen intel core i7 1355u,"10 cores (2p + 8e), 12 threads",32,1.0,13.5,intel iris xe graphics,windows 11 os,1 year warranty
HP Omen 14-fb0007TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),174999.0,77.0,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",16,1.0,14.0,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),55390.0,57.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,14.0,intel integrated uhd graphics,windows 11 os,1 year warranty
