Model,Price,Rating,Generation,Core,Ram_GB,SSD_GB,Display_Inches,Graphics,OS,Warranty
MSI Thin A15 AI B7UCX-068IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),65990.0,69.0,7th gen amd ryzen 5 7535hs,"hexa core, 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,2 year warranty
MSI Thin A15 AI B7UC-067IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),71990.0,70.0,7th gen amd ryzen 5 7535hs,"hexa core, 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 3050,windows 11 os,2 year warranty
MSI Thin A15 AI B7VE-066IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),81990.0,71.0,7th gen amd ryzen 5 7535hs,"hexa core, 12 threads",16,512.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,2 year warranty
MSI Thin A15 AI B7VE-065IN Gaming Laptop (AMD Ryzen 7 7735H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),91990.0,73.0,7th gen amd ryzen 7 7735hs,"octa core, 16 threads",16,1.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,2 year warranty
MSI Stealth 16 AI Studio A1VGG-057IN Gaming Laptop (Intel Core Ultra 9/ 32GB/ 2TB SSD/ Win11/ 8GB Graph),249990.0,,intel core ultra 9 series 1 185h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,2.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,2 year warranty
MSI Vector 17 HX A14VHG-806IN Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),279990.0,,14th gen intel core i9 14900hx,"24 cores (8p + 16e), 32 threads",32,2.0,17.0,12 gb nvidia geforce rtx 4080,windows 11 os,2 year warranty
Chuwi HeroBook Plus Laptop (Intel Celeron N4020/ 8GB/ 256GB SSD/ Win11),18990.0,,intel ‎celeron n4020,"dual core, 2 threads",8,256.0,15.6,intel hd graphics,windows 11 os,1 year warranty
HP Omen 16-wf0179TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),105990.0,72.0,13th gen intel core i7 13700hx,"16 cores (8p + 8e), 24 threads",16,1.0,16.1,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Infinix INBook X2 Slim XL23 Series Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),32990.0,52.0,11th gen intel core i5 1155g7,"quad core, 8 threads",8,512.0,14.0,intel integrated iris xe,windows 11 os,1 year warranty
Asus Vivobook S15 OLED S5504VA-MA951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11),110709.0,66.0,13th gen intel core i9 13900h,"14 cores (6p + 8e), 20 threads",16,1.0,15.6,intel iris xe graphics,windows 11 os,1 year warranty
MSI Modern 15 C13M-080IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),69990.0,61.0,13th gen intel core i7 13700h,"14 cores (6p + 8e), 20 threads",16,1.0,15.6,intel integrated iris xe,windows 11 os,1 year warranty
MSI Modern 15 C13M-079IN Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),79990.0,66.0,13th gen intel core i9 13900h,"14 cores (6p + 8e), 20 threads",16,1.0,15.6,intel integrated iris xe,windows 11 os,1 year warranty
MSI Modern 15 C13M-081IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),59990.0,57.0,13th gen intel core i5 13420h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,intel integrated iris xe,windows 11 os,1 year warranty
Chuwi GemiBook Plus CWI620 Laptop (Intel Celeron N100/ 8GB/ 256GB SSD/ Win11 Home),21990.0,,12th gen intel celeron n100,"quad core, 4 threads",8,256.0,15.6,intel integrated uhd graphics,windows 11 os,1 year warranty
HP Pavilion Plus 14-ew0116TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),70490.0,57.0,13th gen intel core i5 1335u,"10 cores (2p + 8e), 12 threads",16,512.0,14.0,intel iris xe graphics,windows 11 os,1 year warranty
MSI Commercial 14 H A13MG-070IN Laptop (13th Gen Core i7/ 16 GB/ 1TB SSD/Win11 Home),97990.0,64.0,13th gen intel core i7 13620h,"10 cores (6p + 4e), 16 threads",16,1.0,14.0,intel integrated iris xe,windows 11 os,3 year warranty
MSI Stealth 16 AI Studio A1VFG-058IN Gaming Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),199990.0,,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,1.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,2 year warranty
MSI Modern 14 D13MG-073IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),58990.0,56.0,13th gen intel core i5 13420h,"octa core (4p + 4e), 12 threads",16,512.0,14.0,intel integrated iris xe,windows 11 os,1 year warranty
MSI Prestige 16 AI Studio B1VFG 2024 Laptop ( Intel Core Ultra 9/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics),189990.0,,intel core ultra 9 series 1 185h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,1.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,2 year warranty
Lenovo LOQ 15IRH8 82XV00LTIN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),73882.0,68.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 82H803W7IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),35500.0,,11th gen intel core i3 1115g4,"dual core, 4 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Dell Inspiron 5620 ICC-C783534WIN8 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),64990.0,66.0,12th gen intel core i5 1240p,"12 cores (4p + 8e), 16 threads",16,512.0,16.0,intel integrated,windows 11 os,1 year warranty
MSI Prestige 16 AI Studio B1VFG Laptop ( Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics),169990.0,,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,1.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,2 year warranty
MSI Modern 14 D13MG-071IN Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),78990.0,66.0,13th gen intel core i9 13900h,"14 cores (6p + 8e), 20 threads",16,1.0,14.0,intel integrated iris xe,windows 11 os,1 year warranty
MSI Modern 14 D13MG-072IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),68990.0,60.0,13th gen intel core i7 13620h,"10 cores (6p + 4e), 16 threads",16,1.0,14.0,intel integrated iris xe,windows 11 os,1 year warranty
MSI Prestige 16 AI Evo  B1MG Laptop ( Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11),119990.0,70.0,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",16,1.0,16.0,intel integrated arc,windows 11 os,2 year warranty
MSI Prestige 13 AI Evo A1MG 2024 Laptop (Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11 Home),114990.0,69.0,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",16,1.0,13.3,intel arc graphics,windows 11 os,2 year warranty
MSI Prestige 13 AI Evo A1MG Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home),99990.0,66.0,intel core ultra 5 series 1 125h,"14 cores (4p + 8e + 2lp-e), 18 threads",16,1.0,13.3,intel arc graphics,windows 11 os,2 year warranty
MSI Prestige 16 AI Studio B1VEG Laptop ( Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graphics),159990.0,,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,1.0,16.0,6 gb nvidia geforce rtx 4050,windows 11 os,2 year warranty
Asus ROG Strix SCAR 16 2024 G634JZR-CM932WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 12GB Graph),289990.0,,14th gen intel core i9 14900hx,"24 cores (8p + 16e), 32 threads",32,2.0,16.0,12 gb nvidia geforce rtx 4080,windows 11 os,1 year warranty
Asus TUF F17 FX706HF-NY040W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),65990.0,63.0,11th gen intel core i5 11400h,"hexa core, 12 threads",16,512.0,17.3,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
HP Pavilion 15-eh1147AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 1TB SSD/ Win11 Home),60490.0,63.0,5th gen amd ryzen 7 5700u,"octa core, 16 threads",16,1.0,15.6,amd radeon radeon,windows 11 os,1 year warranty
Asus Zenbook 14 OLED 2024 UX3405MA-PZ552WS Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win11 Home),102900.0,63.0,intel core ultra 5 series 1 125h,"14 cores (4p + 8e + 2lp-e), 18 threads",16,1.0,14.0,intel arc graphics,windows 11 os,1 year warranty
Dell Vostro 3530 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),39990.0,52.0,13th gen intel core i3 1305u,"5 cores (1p + 4e), 6 threads",8,512.0,15.6,intel integrated graphics,windows 11 os,1 year warranty
Lenovo ThinkPad E14 21JKS0UA00 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),73990.0,55.0,13th gen intel core i5 1335u,"10 cores (2p + 8e), 12 threads",16,512.0,14.0,intel uhd graphics,windows 11 os,1 year warranty
Lenovo Thinkbook 15 21DJA0FGIH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),55990.0,60.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,intel iris xe graphics,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 5 14IMH9 83DA0043IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),79990.0,55.0,intel core ultra 5 series 1 125h,"14 cores (4p + 8e + 2lp-e), 18 threads",16,1.0,14.0,intel arc graphics,windows 11 os,1 year warranty
HP 14-ew0153TU Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),97990.0,60.0,13th gen intel core i7 1355u,"10 cores (2p + 8e), 12 threads",16,1.0,14.0,intel integrated intel iris xe,windows 11 os,1 year warranty
Acer Swift Go 14 SFG14-72T Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11 Home),79799.0,56.0,intel core ultra 5 series 1 125h,"14 cores (4p + 8e + 2lp-e), 18 threads",16,512.0,14.0,intel integrated arc graphics,windows 11 os,1 year warranty
HP Spectre x360 16-aa0664TX Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 6GB Graph),195990.0,,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,1.0,16.0,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
Chuwi Ubook X Laptop (10th Gen Core i3/ 12GB/ 512GB SSD/ Win11),39990.0,,10th gen intel core i5 10210y,"quad core, 8 threads",12,512.0,12.0,intel uhd graphics,windows 11 os,1 year warranty
HP Pavilion 15-eh1047AU Laptop (Ryzen 5 5500U/ 16GB/ 1TB SSD/ Win11 Home),55990.0,62.0,5th gen amd ryzen 5 5500u,"hexa core, 12 threads",16,1.0,15.6,amd radeon graphics,windows 11 os,1 year warranty
Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 1TB SSD/ Win11),38249.0,57.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",16,1.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
HP Omen 16-xd0010AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),115999.0,75.0,7th gen amd ryzen 7 7840hs,"octa core, 16 threads",16,1.0,16.1,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
Infinix INBook Y4 Max Series YL613 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),52990.0,54.0,13th gen intel core i7 1355u,"10 cores (2p + 8e), 12 threads",16,512.0,16.0,intel integrated iris xe,windows 11 os,1 year warranty
Dell G15-5530 GN5530194YM001ORB1 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ RTX 3050 6GB Graph),101990.0,69.0,13th gen intel core i7 13650hx,14 cores (6p + 8e),16,1.0,15.6,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 15IAH8 83ER008HIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),54990.0,57.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,intel integrated uhd graphics,windows 11 os,1 year warranty
Lenovo Yoga Slim 6 14IRH8 83E00014IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),91990.0,57.0,13th gen intel core i7 13700h,"14 cores (6p + 8e), 20 threads",16,1.0,14.0,intel integrated iris xe,windows 11 os,1 year warranty
Lenovo Ideapad Slim 3 Chromebook 14IAN8 83BN001PHA Laptop (Intel Pentium N100/ 4GB/ 128GB eMMC/ Chrome OS),28190.0,,intel pentium n100,"quad core, 4 threads",4,128.0,14.0,intel uhd graphics,chrome os,1 year warranty
Lenovo Ideapad Slim 3 Chrome 14M868 82XJ002LHA Laptop (MediaTek Kompanio 520/ 4GB/ 128GB eMMC/ Chrome OS),15990.0,,mediatek kompanio 520 kompanio 520,octa core,4,128.0,14.0,arm mali g52 mc2 2ee graphics,chrome os,1 year warranty
Lenovo Ideapad Slim 3 Chrome 14M868 82XJ002RHA Laptop (MediaTek Kompanio 520/ 8GB/ 128GB eMMC/ Chrome OS),17990.0,,mediatek kompanio 520 kompanio 520,octa core,8,128.0,14.0,arm mali g52 mc2 2ee graphics,chrome os,1 year warranty
Lenovo LOQ 15IRX9 83DV007JIN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),84990.0,66.0,13th gen intel core i5 13450hx,"10 cores (6p + 4e), 16 threads",16,512.0,15.6,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 83EM0026IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),59390.0,54.0,13th gen intel core i5 13420h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,integrated intel uhd graphics,windows 11 os,1 year warranty
Lenovo LOQ 15IRX9 83DV007HIN Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),99990.0,65.0,13th gen intel core i7 13650hx,14 cores (6p + 8e),16,512.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
HP Pavilion 15-eh3039AU Laptop ( AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),58500.0,61.0,7th gen amd ryzen 5 7530u,"hexa core, 12 threads",16,512.0,15.6,amd radeon graphics,windows 11 os,1 year warranty
Lenovo ThinkBook 14 21KG00AFIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),43990.0,59.0,13th gen intel core i3 1315u,"hexa core (2p + 4e), 8 threads",8,512.0,14.0,intel uhd graphics,windows 11 os,1 year warranty
Asus TUF Gaming F17 FX706HF-HX044WS Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51990.0,59.0,11th gen intel core i5 11400h,"hexa core, 12 threads",8,512.0,17.0,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
HP 15s-fr5010TU Laptop (12th Gen Core i5/8GB/ 512GB SSD/ Win11 Home),52500.0,55.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Asus Chromebook CM14 CM1402CM2A-EK0085 Laptop (MediaTek Kompanio 520/ 8GB/ 128GB eMMC/ Chrome OS),26990.0,,mediatek kompanio kompanio 520,octa core,8,128.0,14.0,arm mali g52 mc2 2ee,chrome os,1 year warranty
Lenovo LOQ 15IAX9I 83FQ0009IN Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),59990.0,57.0,12th gen intel core i5 12450hx,"octa core (4p + 4e), 12 threads",8,512.0,15.6,4 gb intel integrated arc a530m,windows 11 os,1 year warranty
Lenovo ThinkPad E1 21JNS03P00 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),49990.0,55.0,13th gen intel core i3 1315u,"hexa core (2p + 4e), 8 threads",8,512.0,16.0,intel uhd graphics,windows 11 os,1 year warranty
Lenovo ThinkBook 15 G5 21JFA016IN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512 GB SSD/ Win11),52990.0,66.0,7th gen amd ryzen 5 7530u,"hexa core, 12 threads",16,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
Lenovo ThinkBook 15 G5 21JF002PIN Laptop (AMD Ryzen 5 7530U/ 8GB/ 512 GB SSD/ Win11),39990.0,64.0,7th gen amd ryzen 5 7530u,"hexa core, 12 threads",8,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
HP Spectre x360 16-aa0665TU Laptop (Intel Core Ultra 7/ 32GB/ 2TB SSD/ Win11 Home),174490.0,,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,2.0,16.0,intel arc graphics,windows 11 os,1 year warranty
Acer Aspire Lite AL15-52 15 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),49199.0,60.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",16,1.0,15.6,intel iris xe graphics,windows 11 os,1 year warranty
HP Spectre x360 14-eu0666TU Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home),159990.0,75.0,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,1.0,14.0,intel arc graphics,windows 11 os,1 year warranty
HP Spectre x360 14-eu0556TU Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11 Home),159990.0,75.0,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,1.0,14.0,intel arc graphics,windows 11 os,1 year warranty
HP Omen 16-wf1026TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),176499.0,,14th gen intel core i7 14700hx,"20 cores (8p + 12e), 28 threads",16,1.0,16.1,8 gb nvidia geforce rtx 4070,windows 11 os,1 year warranty
Chuwi Gemibook X Pro Laptop (Intel Celeron N100/ 8 GB/ 256 GB SSD/ Win11 Home),20990.0,,12th gen intel n100 n100,"quad core, 4 threads",8,256.0,14.1,intel integrated uhd graphics,windows 11 os,1 year warranty
Asus VivoBook 14 X1400EA-EK543WS Notebook (11th Gen Core i5/16GB/ 512GB SSD/ Win11 Home),43990.0,53.0,11th gen intel core i5 1135g7,"quad core, 8 threads",16,512.0,14.0,intel integrated intel uhd,windows 11 os,1 year warranty
Acer Nitro V 15 ANV15-51 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),73223.0,60.0,13th gen intel core i5 13420h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 82X60013IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),43990.0,,13th gen intel core i3 1305u,"5 cores (1p + 4e), 6 threads",8,512.0,15.6,integrated intel uhd graphics,windows 11 os,1 year warranty
Chuwi CoreBook X Laptop (10th Gen Core i5/ 16GB/ 512GB SSD/ Win11),34990.0,51.0,10th gen intel core i5 1035g1,"quad core, 8 threads",16,512.0,14.0,intel uhd graphics,windows 11 os,1 year warranty
Avita Liber Liber E AM14A2INL54F Laptop (AMD Ryzen 5 5500U/ 8GB/ 256GB SSD/ Win11 Home),32971.0,,5th gen amd ryzen 5 5500u,"hexa core, 12 threads",8,256.0,14.0,amd radeon,windows 11 os,1 year warranty
Ultimus Lite NU14U3INC54BN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),15990.0,,intel celeron n4020,"dual core, 2 threads",8,256.0,14.1,intel integrated uhd graphics,windows 11 os,1 year warranty
Lenovo ThinkPad X1 Fold Gen 1 Laptop (Intel Core i5/ 8GB/ 1TB SSD/ Win10 Pro),145000.0,57.0,11th gen intel core i5 l16g7,"5 cores, 5 threads",8,1.0,13.3,intel integrated graphics,windows 10 os,1 year warranty
Lenovo IdeaPad Slim 3 15IRH8 83EM0025IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),59490.0,54.0,13th gen intel core i5 13420h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,integrated intel uhd graphics,windows 11 os,1 year warranty
Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),82490.0,68.0,13th gen intel core i5 13450hx,"10 cores (6p + 4e), 16 threads",16,1.0,15.6,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Dell ‎G16 7630 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),187490.0,77.0,13th gen intel core i9 13900hx,"24 cores (8p + 16e), 32 threads",16,1.0,16.0,8 gb nvidia geforce rtx 4070,windows 11 os,1 year warranty
HP Envy x360 15-fh0014AU Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),80640.0,60.0,7th gen amd ryzen 5 7530u,"hexa core, 12 threads",8,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 83ER008DIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),53490.0,55.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,integrated intel irisxe graphics,windows 11 os,1 year warranty
Infinix INBook Y2 Plus XL29 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),24990.0,,11th gen intel core i3 1115g4,"dual core, 4 threads",8,512.0,15.6,intel integrated iris xe,windows 11 os,1 year warranty
HP Omen 16-wf0054TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),151490.0,73.0,13th gen intel core i7 13700hx,"16 cores (8p + 8e), 24 threads",16,512.0,16.1,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
MSI Prestige 13 AI Evo A1M Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11 Home),113999.0,64.0,intel core ultra 7 series 1 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",16,512.0,13.3,intel arc graphics,windows 11 os,2 year warranty
Lenovo Ideapad Flex 5 14IAU7 82R700KHIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),53990.0,53.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,14.0,intel integrated uhd,windows 11 os,1 year warranty
Asus Zenbook 14 OLED UX3405 Laptop (Intel Core Ultra 9 / 16GB/ 512GB SSD/ Win11 Home),149990.0,65.0,intel core ultra 9 series 1 185h,"16 cores (6p + 8e + 2lp-e), 22 threads",16,512.0,14.0,intel arc graphics,windows 11 os,1 year warranty
Acer Predator Triton Neo 16 Laptop (Intel Core Ultra 9 / 32GB/ 2TB SSD/ Win11 Home/ 8GB Graph),199999.0,74.0,intel core ultra 9 series 1 185h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,2.0,16.0,8 gb nvidia geforce rtx 4070,windows 11 os,1 year warranty
Lenovo V14 82KAA0AMIH Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ DOS),45990.0,53.0,11th gen intel core i5 1135g7,"quad core, 8 threads",8,512.0,14.0,intel uhd graphics,dos os,1 year warranty
Lenovo IdeaPad Slim 3 82H803HQIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),48900.0,60.0,11th gen intel core i5 1155g7,"quad core, 8 threads",8,512.0,15.6,integrated intel iris xe graphics,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),49999.0,62.0,11th gen intel core i5 1155g7,"quad core, 8 threads",16,512.0,15.6,integrated intel iris xe graphics,windows 11 os,1 year warranty
Lenovo V14 82KAA01QIH Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),45990.0,57.0,11th gen intel core i5 1135g7,"quad core, 8 threads",8,512.0,14.0,intel integrated iris xe,windows 10 os,1 year warranty
Lenovo IdeaPad 1 15ALC7 82R400ERIN Laptop (AMD Ryzen 5 5500U / 16GB/ 512GB SSD/ Win11 Home),40490.0,54.0,5th gen amd ryzen 5  5500u,"hexa core, 12 threads",16,512.0,15.6,amd radeon,windows 11 os,1 year warranty
Asus Chromebook CX3402CBA-PQ0173 Laptop (12th Gen Core i3/ 8GB/ 128GB EMMC/ Chrome OS),34990.0,,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,128.0,14.0,intel integrated uhd,chrome os,1 year warranty
Acer Nitro V16 Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graphics),149900.0,69.0,8th gen amd ryzen 7 8845hs,"octa core, 16 threads",16,1.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
MSI Thin GF63 11UC-1494IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),63500.0,65.0,11th gen intel core i7 11800h,"octa core, 16 threads",16,1.0,4.0,256 gb ssd,"15.6 inches, 1920 x 1080 pixels",windows 11 os
Huawei Qingyun L540 Laptop (Kirin 9006C/ 16GB/ 512GB SSD/ Kirin OS),81999.0,,hisilicon  kirin 9006c 9006c,16 gb  ram,512,14.0,1.0,linux os,backlit keyboard,nan
Lenovo Yoga Slim 6 14IRH8 83E00012INLaptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),81400.0,59.0,13th gen intel core i5 13500h,"12 cores (4p + 8e), 16 threads",16,1.0,14.0,intel integrated iris xe,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3i 82RK011EIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),62490.0,61.0,12th gen intel core i7 1255u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,integrated intel irisxe graphics,windows 11 os,1 year warranty
Huawei MateBook 14s 2023 Laptop (13th Gen Core i9/ 16GB RAM/ 1TB SSD/ Win11 Home),80999.0,68.0,13th gen intel core i9 13900h,"14 cores (6p + 8e), 20 threads",16,1.0,14.2,intel iris xe graphics,windows 11 os,1 year warranty
"Dell Inspiron 3535 Laptop (AMD Ryzen R3-7320U,/ 8GB/ 512GB SSD/ Win11)",34450.0,50.0,7th gen amd ryzen 3 7320u,"quad core, 8 threads",8,512.0,15.6,amd radeon graphics,windows 11 os,1 year warranty
Lenovo IdeaPad 1 14IGL7 82V6006EIN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),26490.0,,4th gen intel celeron n4020,"dual core, 2 threads",8,256.0,14.0,intel integrated uhd,windows 11 os,1 year warranty
